session_length,total_rewards,reward_rate,correct_port_rate,action_bias,alpha,beta,bias,c_preva,lapse,best_loss,Mouse_ID,Gene,Sex
284,201,0.707746479,0.73943662,0.112676056,0.715054989,1.080307126,0.286303401,1,0,0.43455277,NF1_003_144_28,NF1,M
289,155,0.53633218,0.570934256,0.107266436,0.597440898,1.057189941,0.296334505,1,0.029875301,0.48858537,SHANK3B_004_72_63,SHANK3B,M
255,153,0.6,0.650980392,0.223529412,0.456407309,1.055204153,0.756414771,0.772647321,0,0.517695528,DNMT3A_002_25_24,DNMT3A,M
365,197,0.539726027,0.638356164,-0.134246575,0.461294711,1.054745793,-0.34825483,0.754184484,0,0.53018803,ChowHFD_674,C57B6/J,M
311,183,0.588424437,0.662379421,-0.099678457,1,1.042607546,-0.368798107,1,0.148245856,0.540326477,NF1_003_140_15,NF1,F
234,136,0.581196581,0.705128205,0.042735043,1,1.038149714,0.145156413,0.341207713,0,0.567025796,NF1_003_141_19,NF1,F
241,131,0.543568465,0.589211618,-0.10373444,0.547321677,1.016347528,-0.464293391,1,0.245498687,0.587965336,DNMT3A_002_27_40,DNMT3A,M
274,173,0.631386861,0.667883212,0.051094891,0.429978281,1.001665473,0.168648422,0.752553165,0.070734344,0.55358987,CDKL5_005_182_65,CDKL5,F
218,149,0.683486239,0.706422018,-0.018348624,0.948647141,1.000343084,-0.054463785,0.726885378,0,0.505960027,CDKL5_005_179_17,CDKL5,M
308,219,0.711038961,0.733766234,-0.012987013,0.789272368,0.989762664,0.03077055,1,0,0.475910137,NF1_003_141_23,NF1,M
331,195,0.589123867,0.70694864,0.063444109,0.40414086,0.970287919,0.149952143,0.771346867,0,0.554120297,SHANK3B_004_68_23,SHANK3B,M
241,175,0.726141079,0.738589212,0.10373444,1,0.959267616,0.194983944,0.616223514,0,0.520402014,MYT1L_001_2_6,MYT1L,F
341,202,0.592375367,0.674486804,-0.020527859,0.368358463,0.952281892,-0.084503293,0.991377413,0.027537216,0.529848787,MYT1L_001_7_30,MYT1L,M
293,176,0.600682594,0.624573379,-0.133105802,0.265208602,0.950099647,-0.253650337,1,0,0.510579913,MYT1L_001_3_19,MYT1L,M
277,184,0.664259928,0.700361011,-0.061371841,0.831377327,0.938401043,-0.244734645,1,0,0.489060936,CDKL5_005_183_74,CDKL5,F
262,165,0.629770992,0.698473282,-0.091603053,0.589001298,0.935784936,-0.396800309,0.706792116,0,0.54916178,WAC_006_235_13,WAC,F
281,161,0.572953737,0.68683274,-0.046263345,1,0.931258082,-0.165150866,0.626586437,0,0.554051735,MYT1L_001_2_9,MYT1L,M
277,186,0.671480144,0.718411552,-0.032490975,0.682083368,0.908803642,-0.087483019,1,0,0.496188332,CDKL5_005_182_57,CDKL5,M
239,148,0.619246862,0.686192469,-0.079497908,0.637817025,0.900198877,-0.357860684,1,0,0.51298989,DNMT3A_002_25_29,DNMT3A,M
232,159,0.685344828,0.711206897,0.120689655,1,0.886926651,0.468427628,0.891104162,0,0.512778973,DNMT3A_002_28_31,DNMT3A,M
217,143,0.658986175,0.69124424,-0.041474654,1,0.879528344,-0.083413288,0.888340175,0,0.516691287,DNMT3A_002_26_55,DNMT3A,F
252,174,0.69047619,0.714285714,0.03968254,1,0.877613902,0.015741222,1,0,0.498074971,CDKL5_005_281_35,CDKL5,M
313,188,0.600638978,0.658146965,-0.067092652,0.54745388,0.876702011,-0.175052583,0.700252175,0,0.573688007,MYT1L_001_10_42,MYT1L,F
260,174,0.669230769,0.692307692,-0.076923077,0.922388494,0.873502374,-0.104009487,0.963814497,0,0.505184643,FMR1_007_214_94,FMR1,M
289,166,0.574394464,0.698961938,0.031141869,0.803396583,0.859964907,0.050486948,0.975503445,0,0.530187059,ChowHFD_672,C57B6/J,M
213,119,0.558685446,0.591549296,0.154929577,0.228446931,0.838799238,0.486693889,1,0,0.556301099,SHANK3B_004_71_38,SHANK3B,F
308,181,0.587662338,0.655844156,0.071428571,0.437489539,0.837758362,0.232856512,0.991413772,0,0.542793868,NF1_003_140_8,NF1,F
308,179,0.581168831,0.694805195,-0.071428571,0.689953804,0.835559785,-0.299675435,0.767407179,0,0.57539764,MYT1L_001_9_11,MYT1L,F
264,169,0.640151515,0.689393939,-0.060606061,0.589440405,0.820570469,-0.061157417,0.959398389,0,0.538673343,CNTNAP2_008_246_28,CNTNAP2,F
279,167,0.598566308,0.663082437,0.075268817,0.794946194,0.815576196,0.190169007,0.592891872,0,0.586014614,SHANK3B_004_69_33,SHANK3B,F
302,193,0.639072848,0.67218543,-0.086092715,1,0.815232933,-0.326830566,0.710076034,0,0.562699173,WAC_006_199_93,WAC,M
305,205,0.672131148,0.71147541,0.08852459,1,0.806190968,0.361723244,0.689804077,0,0.570974982,CNTNAP2_008_243_82,CNTNAP2,F
269,158,0.587360595,0.6133829,-0.085501859,0.325363338,0.782141089,-0.305811584,1,0,0.563347742,SHANK3B_004_70_4,SHANK3B,M
218,150,0.688073394,0.706422018,-0.073394495,1,0.781692386,-0.172071204,0.815175414,0,0.553499694,DNMT3A_002_19_49,DNMT3A,F
253,152,0.600790514,0.679841897,0.130434783,1,0.778961837,0.415849417,0.893753409,0,0.549986587,MYT1L_001_12_45,MYT1L,M
328,200,0.609756098,0.661585366,-0.12195122,1,0.757384479,-0.343828648,0.544500828,0,0.597075486,NF1_003_140_12,NF1,F
305,195,0.639344262,0.675409836,-0.081967213,0.833778977,0.743311286,-0.273368806,1,0,0.551906248,WAC_006_201_84,WAC,F
217,120,0.552995392,0.589861751,-0.059907834,1,0.731478333,-0.258687705,1,0,0.562981496,SHANK3B_004_120_96,SHANK3B,M
328,212,0.646341463,0.667682927,-0.048780488,0.939977288,0.70922941,-0.117935941,1,0,0.560169034,CNTNAP2_008_246_29,CNTNAP2,M
271,152,0.560885609,0.649446494,0.10701107,1,0.704895854,0.481498808,1,0,0.569401421,DNMT3A_002_19_47,DNMT3A,F
271,159,0.586715867,0.667896679,-0.003690037,0.907007158,0.674475133,0.063950822,0.839648902,0,0.598151119,MYT1L_001_5_23,MYT1L,F
287,169,0.588850174,0.613240418,-0.135888502,0.337265491,0.663071692,-0.468878567,0.750070572,0,0.616456567,SHANK3B_004_122_12,SHANK3B,F
300,167,0.556666667,0.583333333,-0.053333333,0.241931766,0.645651937,-0.137869954,1,0,0.607923533,CNTNAP2_008_244_32,CNTNAP2,M
268,145,0.541044776,0.626865672,-0.089552239,0.966107309,0.643991649,-0.373202831,1,0,0.589145034,FMR1_007_307_40,FMR1,F
314,162,0.515923567,0.585987261,-0.01910828,0.590679944,0.616058111,-0.210570812,0.735869646,0,0.629103399,MYT1L_001_5_27,MYT1L,F
248,144,0.580645161,0.629032258,-0.008064516,0.507830501,0.551653862,-0.023573732,0.537602663,0,0.649040222,CDKL5_005_180_66,CDKL5,F
247,126,0.510121457,0.587044534,-0.141700405,1,0.535202682,-0.462485343,0.926482081,0.000584596,0.62018403,DNMT3A_002_24_2,DNMT3A,F
327,195,0.596330275,0.608562691,0.119266055,0.329914004,0.532892764,0.53606838,0.710957229,0,0.644106337,NF1_003_142_55,NF1,M
251,116,0.462151394,0.629482072,-0.003984064,0.652328014,0.509204388,-0.005731033,0.82541883,0,0.648706809,CNTNAP2_008_248_46,CNTNAP2,F
303,184,0.607260726,0.633663366,0.089108911,1,0.489302576,0.379684895,1,0,0.626515102,FMR1_007_211_83,FMR1,F
361,178,0.493074792,0.570637119,-0.069252078,0.777530134,0.405130506,-0.437447876,1,0,0.653607228,MYT1L_001_8_36,MYT1L,M
